Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas,Link Relatório
8,qui,2024-06-13,20:00,Flamengo,1.0,2–1,1.0,Grêmio,51.785,Estadio Jornalista Mário Filho,,Relatório da Partida,,/pt/partidas/98b435e7/Flamengo-Gremio-2024Junho13-Serie-A
8,qui,2024-06-13,20:00,Internacional,0.2,0–0,0.7,São Paulo,17.987,Estádio Heriberto Hülse,,Relatório da Partida,,/pt/partidas/a847c862/Internacional-Sao-Paulo-2024Junho13-Serie-A
8,qui,2024-06-13,20:00,Ath Paranaense,2.6,3–1,1.4,Criciúma,23.424,Ligga Arena,,Relatório da Partida,,/pt/partidas/e3954d94/Athletico-Paranaense-Criciuma-2024Junho13-Serie-A
8,qui,2024-06-13,21:30,Bahia,1.4,1–0,1.2,Fortaleza,29.889,Itaipava Arena Fonte Nova,,Relatório da Partida,,/pt/partidas/930871d8/Bahia-Fortaleza-2024Junho13-Serie-A
8,qui,2024-06-13,21:30,Palmeiras,2.3,2–0,0.2,Vasco da Gama,37.641,Allianz Parque,,Relatório da Partida,,/pt/partidas/f17f40e0/Palmeiras-Vasco-da-Gama-2024Junho13-Serie-A
9,sáb,2024-06-15,18:30,Red Bull Bragantino,0.5,2–1,2.1,Juventude,3.338,Estádio Nabi Abi Chedid,,Relatório da Partida,,/pt/partidas/307328b7/Red-Bull-Bragantino-Juventude-2024Junho15-Serie-A
9,dom,2024-06-16,16:00,Vitória,1.5,2–1,1.2,Internacional,14.251,Estádio Manoel Barradas,,Relatório da Partida,,/pt/partidas/25aab3a0/Vitoria-Internacional-2024Junho16-Serie-A
9,dom,2024-06-16,16:00,Corinthians,0.9,2–2,0.9,São Paulo,46.129,Neo Química Arena,,Relatório da Partida,,/pt/partidas/46286d05/Classico-Majestoso-Corinthians-Sao-Paulo-2024Junho16-Serie-A
9,dom,2024-06-16,16:00,Ath Paranaense,1.8,1–1,0.6,Flamengo,38.641,Ligga Arena,,Relatório da Partida,,/pt/partidas/64a04e10/Athletico-Paranaense-Flamengo-2024Junho16-Serie-A
9,dom,2024-06-16,17:30,Cuiabá,3.6,5–0,0.1,Fortaleza,4.474,Arena Pantanal,,Relatório da Partida,,/pt/partidas/4ebfaebd/Cuiaba-Fortaleza-2024Junho16-Serie-A
9,dom,2024-06-16,18:30,Criciúma,1.9,2–2,0.8,Bahia,8.661,Estádio Heriberto Hülse,,Relatório da Partida,,/pt/partidas/391366f7/Criciuma-Bahia-2024Junho16-Serie-A
9,dom,2024-06-16,18:30,Grêmio,1.0,1–2,0.7,Botafogo (RJ),15.595,Estádio Kleber José de Andrade,,Relatório da Partida,,/pt/partidas/4257cbc2/Gremio-Botafogo-RJ-2024Junho16-Serie-A
9,dom,2024-06-16,18:30,Vasco da Gama,1.0,0–0,0.2,Cruzeiro,11.275,Estádio Club de Regatas Vasco da Gama,,Relatório da Partida,,/pt/partidas/a9931e51/Vasco-da-Gama-Cruzeiro-2024Junho16-Serie-A
9,sáb,2024-06-15,21:00,Fluminense,0.7,1–2,1.8,Atl Goianiense,14.485,Estadio Jornalista Mário Filho,,Relatório da Partida,,/pt/partidas/29cda5d2/Fluminense-Atletico-Goianiense-2024Junho15-Serie-A
9,seg,2024-06-17,20:30,Atlético Mineiro,0.4,0–4,2.8,Palmeiras,28.251,Arena MRV,,Relatório da Partida,,/pt/partidas/1c9d1b2d/Atletico-Mineiro-Palmeiras-2024Junho17-Serie-A
10,qua,2024-06-19,19:00,Atl Goianiense,0.6,1–2,1.4,Criciúma,6.478,Estádio Antônio Accioly,,Relatório da Partida,,/pt/partidas/1a19415b/Atletico-Goianiense-Criciuma-2024Junho19-Serie-A
10,qua,2024-06-19,19:00,Botafogo (RJ),0.6,1–1,1.5,Ath Paranaense,19.589,Estádio Nilton Santos,,Relatório da Partida,,/pt/partidas/9c325553/Botafogo-RJ-Athletico-Paranaense-2024Junho19-Serie-A
10,qua,2024-06-19,20:00,Fortaleza,1.7,1–0,1.0,Grêmio,16.935,Estádio Castelão,,Relatório da Partida,,/pt/partidas/081091ac/Fortaleza-Gremio-2024Junho19-Serie-A
10,qua,2024-06-19,20:00,São Paulo,0.9,0–1,0.5,Cuiabá,33.586,Estádio do Morumbi,,Relatório da Partida,,/pt/partidas/a63c79b5/Sao-Paulo-Cuiaba-2024Junho19-Serie-A
10,qua,2024-06-19,20:00,Juventude,1.3,2–0,0.3,Vasco da Gama,4.838,Estádio Alfredo Jaconi,,Relatório da Partida,,/pt/partidas/d0569570/Juventude-Vasco-da-Gama-2024Junho19-Serie-A
10,qui,2024-06-20,18:30,Vitória,1.5,4–2,1.9,Atlético Mineiro,15.044,Estádio Manoel Barradas,,Relatório da Partida,,/pt/partidas/30eb9fe9/Vitoria-Atletico-Mineiro-2024Junho20-Serie-A
10,qui,2024-06-20,20:00,Flamengo,1.1,2–1,0.8,Bahia,49.909,Estadio Jornalista Mário Filho,,Relatório da Partida,,/pt/partidas/ae4b29ce/Flamengo-Bahia-2024Junho20-Serie-A
10,qua,2024-06-19,21:30,Internacional,0.5,1–0,0.8,Corinthians,14.447,Estádio Orlando Scarpelli,,Relatório da Partida,,/pt/partidas/06841ffb/Internacional-Corinthians-2024Junho19-Serie-A
10,qua,2024-06-19,21:30,Cruzeiro,1.8,2–0,0.3,Fluminense,28.812,Estádio Governador Magalhães Pinto,,Relatório da Partida,,/pt/partidas/324bf54d/Cruzeiro-Fluminense-2024Junho19-Serie-A
10,qui,2024-06-20,21:30,Palmeiras,3.1,2–1,1.4,Red Bull Bragantino,29.119,Allianz Parque,,Relatório da Partida,,/pt/partidas/7b1bef73/Palmeiras-Red-Bull-Bragantino-2024Junho20-Serie-A
11,sáb,2024-06-22,16:00,Criciúma,1.3,2–1,0.7,Botafogo (RJ),16.256,Estádio Heriberto Hülse,,Relatório da Partida,,/pt/partidas/ef21323a/Criciuma-Botafogo-RJ-2024Junho22-Serie-A
11,sáb,2024-06-22,17:30,Cuiabá,0.9,0–0,0.8,Atl Goianiense,4.635,Arena Pantanal,,Relatório da Partida,,/pt/partidas/134bd2e7/Cuiaba-Atletico-Goianiense-2024Junho22-Serie-A
11,sáb,2024-06-22,17:30,Grêmio,0.5,0–1,1.1,Internacional,27.961,Estádio Major Antônio Couto Pereira,,Relatório da Partida,,/pt/partidas/16c8a020/Gremio-Internacional-2024Junho22-Serie-A
11,dom,2024-06-23,16:00,Fluminense,0.3,0–1,2.0,Flamengo,57.098,Estadio Jornalista Mário Filho,,Relatório da Partida,,/pt/partidas/2710ddc4/Fluminense-Flamengo-2024Junho23-Serie-A
11,dom,2024-06-23,16:00,Bahia,2.5,4–1,0.7,Cruzeiro,35.541,Itaipava Arena Fonte Nova,,Relatório da Partida,,/pt/partidas/4afab374/Bahia-Cruzeiro-2024Junho23-Serie-A
11,dom,2024-06-23,16:00,Ath Paranaense,1.4,1–1,1.2,Corinthians,34.682,Ligga Arena,,Relatório da Partida,,/pt/partidas/9f68e36c/Athletico-Paranaense-Corinthians-2024Junho23-Serie-A
11,dom,2024-06-23,18:30,Atlético Mineiro,0.9,1–1,1.3,Fortaleza,20.089,Arena MRV,,Relatório da Partida,,/pt/partidas/31001bc3/Atletico-Mineiro-Fortaleza-2024Junho23-Serie-A
11,dom,2024-06-23,18:30,Palmeiras,2.9,3–1,1.4,Juventude,38.258,Allianz Parque,,Relatório da Partida,,/pt/partidas/6c5678df/Palmeiras-Juventude-2024Junho23-Serie-A
11,dom,2024-06-23,18:30,Red Bull Bragantino,1.4,2–1,0.7,Vitória,4.426,Estádio Nabi Abi Chedid,,Relatório da Partida,,/pt/partidas/93b80bf5/Red-Bull-Bragantino-Vitoria-2024Junho23-Serie-A
11,sáb,2024-06-22,21:30,Vasco da Gama,1.3,4–1,0.4,São Paulo,4.897,Estádio Club de Regatas Vasco da Gama,,Relatório da Partida,,/pt/partidas/57771a62/Vasco-da-Gama-Sao-Paulo-2024Junho22-Serie-A
12,qua,2024-06-26,19:00,Botafogo (RJ),0.6,2–1,1.5,Red Bull Bragantino,13.333,Estádio Nilton Santos,,Relatório da Partida,,/pt/partidas/00bd5d37/Botafogo-RJ-Red-Bull-Bragantino-2024Junho26-Serie-A
12,qua,2024-06-26,19:00,Cruzeiro,1.9,2–0,0.7,Ath Paranaense,26.465,Estádio Governador Magalhães Pinto,,Relatório da Partida,,/pt/partidas/83e0aea0/Cruzeiro-Athletico-Paranaense-2024Junho26-Serie-A
12,qua,2024-06-26,20:00,Juventude,2.2,2–1,1.6,Flamengo,12.675,Estádio Alfredo Jaconi,,Relatório da Partida,,/pt/partidas/0fd769cc/Juventude-Flamengo-2024Junho26-Serie-A
12,qua,2024-06-26,20:00,Atl Goianiense,1.7,1–1,0.4,Grêmio,7.319,Estádio Antônio Accioly,,Relatório da Partida,,/pt/partidas/4ad7fbcc/Atletico-Goianiense-Gremio-2024Junho26-Serie-A
12,qua,2024-06-26,20:00,Corinthians,1.1,1–1,1.7,Cuiabá,38.475,Neo Química Arena,,Relatório da Partida,,/pt/partidas/7ff3c7d6/Corinthians-Cuiaba-2024Junho26-Serie-A
12,qui,2024-06-27,19:00,Fluminense,0.3,0–1,0.5,Vitória,24.269,Estadio Jornalista Mário Filho,,Relatório da Partida,,/pt/partidas/a15030a1/Fluminense-Vitoria-2024Junho27-Serie-A
12,qui,2024-06-27,20:00,São Paulo,0.5,2–1,1.5,Criciúma,28.008,Estádio do Morumbi,,Relatório da Partida,,/pt/partidas/0f056001/Sao-Paulo-Criciuma-2024Junho27-Serie-A
12,qua,2024-06-26,21:30,Bahia,2.5,2–1,1.5,Vasco da Gama,38.318,Itaipava Arena Fonte Nova,,Relatório da Partida,,/pt/partidas/0d6673b1/Bahia-Vasco-da-Gama-2024Junho26-Serie-A
12,qua,2024-06-26,21:30,Internacional,1.7,1–2,1.4,Atlético Mineiro,9.978,Estádio Heriberto Hülse,,Relatório da Partida,,/pt/partidas/2895ef08/Internacional-Atletico-Mineiro-2024Junho26-Serie-A
12,qua,2024-06-26,21:30,Fortaleza,1.0,3–0,1.2,Palmeiras,28.613,Estádio Castelão,,Relatório da Partida,,/pt/partidas/ec9e81b1/Fortaleza-Palmeiras-2024Junho26-Serie-A
13,sáb,2024-06-29,17:30,Cuiabá,0.2,1–1,0.3,Red Bull Bragantino,5.024,Arena Pantanal,,Relatório da Partida,,/pt/partidas/44acb90c/Cuiaba-Red-Bull-Bragantino-2024Junho29-Serie-A
13,sáb,2024-06-29,18:30,Vasco da Gama,0.5,1–1,0.5,Botafogo (RJ),15.593,Estádio Club de Regatas Vasco da Gama,,Relatório da Partida,,/pt/partidas/f8fdc399/Vasco-da-Gama-Botafogo-RJ-2024Junho29-Serie-A
13,dom,2024-06-30,11:00,Atlético Mineiro,0.7,1–1,1.2,Atl Goianiense,36.099,Arena MRV,,Relatório da Partida,,/pt/partidas/56af3243/Atletico-Mineiro-Atletico-Goianiense-2024Junho30-Serie-A
13,dom,2024-06-30,16:00,São Paulo,1.2,3–1,1.0,Bahia,28.008,Estádio do Morumbi,,Relatório da Partida,,/pt/partidas/4556317d/Sao-Paulo-Bahia-2024Junho30-Serie-A
13,dom,2024-06-30,16:00,Fortaleza,2.6,2–1,1.1,Juventude,33.717,Estádio Castelão,,Relatório da Partida,,/pt/partidas/7f6df1bb/Fortaleza-Juventude-2024Junho30-Serie-A
13,dom,2024-06-30,16:00,Grêmio,1.0,1–0,0.5,Fluminense,8.549,Estádio Francisco Stédile,,Relatório da Partida,,/pt/partidas/a8d11509/Gremio-Fluminense-2024Junho30-Serie-A
